Date,Y
2020/5/27,23.92
2020/5/28,23.950001
2020/5/29,24
2020/6/1,24.780001
2020/6/2,23.950001
2020/6/3,23.219999
2020/6/4,23.43
2020/6/5,23.290001
2020/6/8,23.559999
2020/6/9,24.33
2020/6/10,25.08
2020/6/11,24.309999
2020/6/12,24.07
2020/6/15,24.74
2020/6/16,24.379999
2020/6/17,24.25
2020/6/18,23.940001
2020/6/19,24.49
2020/6/22,25.450001
2020/6/23,25.68
2020/6/24,25.709999
2020/6/25,25.73
2020/6/26,25.870001
2020/6/29,26.129999
2020/6/30,26.940001
2020/7/1,26.809999
2020/7/2,26.27
2020/7/6,26.610001
2020/7/7,27.02
2020/7/8,27.719999
2020/7/9,27.59
2020/7/10,27.110001
2020/7/13,26.129999
2020/7/14,27.049999
2020/7/15,27.09
2020/7/16,26.690001
2020/7/17,27.34
2020/7/20,28.120001
2020/7/21,28.23
2020/7/22,28.52
2020/7/23,27.99
2020/7/24,28.440001
2020/7/27,29.91
2020/7/28,29.59
2020/7/29,28.780001
2020/7/30,28.25
2020/7/31,28.91
2020/8/3,28.719999
2020/8/4,29.75
2020/8/5,29.84
2020/8/6,29.5
2020/8/7,28.870001
2020/8/10,28.719999
2020/8/11,26.25
2020/8/12,26.18
2020/8/13,27.139999
2020/8/14,26.99
2020/8/17,30.129999
2020/8/18,30.040001
2020/8/19,28.98
2020/8/20,29.950001
2020/8/21,29.309999
2020/8/24,28.969999
2020/8/25,28.75
2020/8/26,29.370001
2020/8/27,28.58
2020/8/28,29.200001
2020/8/31,29.65
2020/9/1,29.33
2020/9/2,29.610001
2020/9/3,29.26
2020/9/4,29.049999
2020/9/8,29.200001
2020/9/9,30.459999
2020/9/10,30.110001
2020/9/11,29.75
2020/9/14,29.93
2020/9/15,29.99
2020/9/16,29.99
2020/9/17,29.139999
2020/9/18,28.889999
2020/9/21,28.190001
2020/9/22,28.42
2020/9/23,27.139999
2020/9/24,27.65
2020/9/25,27.700001
2020/9/28,27.76
2020/9/29,28.280001
2020/9/30,28.110001
2020/10/1,28.26
2020/10/2,27.889999
2020/10/5,28.370001
2020/10/6,27.059999
2020/10/7,26.950001
2020/10/8,27.27
2020/10/9,28.049999
2020/10/12,28.040001
2020/10/13,27.959999
2020/10/14,28.309999
2020/10/15,27.75
2020/10/16,27.57
2020/10/19,27.02
2020/10/20,27.07
2020/10/21,27.370001
2020/10/22,26.889999
2020/10/23,26.809999
2020/10/26,26.629999
2020/10/27,27.09
2020/10/28,25.92
2020/10/29,26.17
2020/10/30,26.73
2020/11/2,27.16
2020/11/3,27.780001
2020/11/4,27.42
2020/11/5,29.32
2020/11/6,28.870001
2020/11/9,26.9
2020/11/10,25.940001
2020/11/11,25.790001
2020/11/12,25.91
2020/11/13,25.889999
2020/11/16,25.860001
2020/11/17,25.370001
2020/11/18,24.459999
2020/11/19,24.18
2020/11/20,24.280001
2020/11/23,23.24
2020/11/24,22.790001
2020/11/25,22.83
2020/11/27,22.690001
2020/11/30,23.139999
2020/12/1,23.83
2020/12/2,23.959999
2020/12/3,23.610001
2020/12/4,23.5
2020/12/7,23.950001
2020/12/8,23.9
2020/12/9,23.360001
2020/12/10,23.09
2020/12/11,22.9
2020/12/14,22.440001
2020/12/15,22.870001
2020/12/16,23.07
2020/12/17,23.59
2020/12/18,23.27
2020/12/21,23.02
2020/12/22,22.52
2020/12/23,22.83
2020/12/24,22.9
2020/12/28,22.84
2020/12/29,22.91
2020/12/30,23.24
2020/12/31,22.780001
2021/1/4,24.620001
2021/1/5,24.280001
2021/1/6,24.5
2021/1/7,24.77
2021/1/8,23.969999
2021/1/11,23.52
2021/1/12,23.540001
2021/1/13,23.6
2021/1/14,23.68
2021/1/15,23.139999
2021/1/19,23.389999
2021/1/20,23.83
2021/1/21,23.68
2021/1/22,23.469999
2021/1/25,23.440001
2021/1/26,23.280001
2021/1/27,21.99
2021/1/28,22.360001
2021/1/29,22.370001
2021/2/1,22.540001
2021/2/2,22.34
2021/2/3,22.34
2021/2/4,21.99
2021/2/5,22.33
2021/2/8,22.459999
2021/2/9,22.43
2021/2/10,22.51
2021/2/11,22.190001
2021/2/12,22.15
2021/2/16,21.700001
2021/2/17,20.83
2021/2/18,20.32
2021/2/19,19.780001
2021/2/22,20.530001
2021/2/23,20.16
2021/2/24,20.1
2021/2/25,19.450001
2021/2/26,18.67
2021/3/1,18.969999
2021/3/2,19.860001
2021/3/3,19.5
2021/3/4,19.540001
2021/3/5,19.84
2021/3/8,19.5
2021/3/9,19.99
2021/3/10,20.120001
2021/3/11,20.309999
2021/3/12,20.32
2021/3/15,20.77
2021/3/16,20.709999
2021/3/17,21.129999
2021/3/18,20.860001
2021/3/19,20.959999
2021/3/22,20.620001
2021/3/23,20.24
2021/3/24,20.16
2021/3/25,19.73
2021/3/26,20
2021/3/29,20.16
2021/3/30,19.51
2021/3/31,19.799999
2021/4/1,20.370001
2021/4/5,20.629999
2021/4/6,20.879999
2021/4/7,20.67
2021/4/8,21.16
2021/4/9,21.209999
2021/4/12,20.99
2021/4/13,21.1
2021/4/14,21.110001
2021/4/15,21.98
2021/4/16,22.23
2021/4/19,22.110001
2021/4/20,22.4
2021/4/21,22.74
2021/4/22,22.41
2021/4/23,22.209999
2021/4/26,22.16
2021/4/27,21.639999
2021/4/28,21.76
2021/4/29,21.35
2021/4/30,21.25
2021/5/3,22.23
2021/5/4,22.01
2021/5/5,22.25
2021/5/6,23.549999
2021/5/7,23.92
2021/5/10,23.93
2021/5/11,23.950001
2021/5/12,23.530001
2021/5/13,23.58
2021/5/14,24.02
2021/5/17,25.27
2021/5/18,25.110001
2021/5/19,24.59
2021/5/20,24.809999
2021/5/21,24.700001
2021/5/24,24.68
2021/5/25,24.58
2021/5/26,24.58
2021/5/27,23.860001
2021/5/28,24.08
2021/6/1,24.26
2021/6/2,24.17
2021/6/3,23.209999
2021/6/4,23.459999
2021/6/7,23.41
2021/6/8,23.120001
2021/6/9,23.01
2021/6/10,23.709999
2021/6/11,23.23
2021/6/14,23.15
2021/6/15,22.790001
2021/6/16,22.450001
2021/6/17,21.030001
2021/6/18,20.75
2021/6/21,21.15
2021/6/22,21.08
2021/6/23,20.959999
2021/6/24,20.969999
2021/6/25,20.889999
2021/6/28,20.700001
2021/6/29,20.530001
2021/6/30,20.68
2021/7/1,20.58
2021/7/2,20.790001
2021/7/6,21.290001
2021/7/7,21.190001
2021/7/8,20.719999
2021/7/9,21.129999
2021/7/12,20.83
2021/7/13,21.139999
2021/7/14,21.33
2021/7/15,21.27
2021/7/16,20.860001
2021/7/19,20.540001
2021/7/20,20.719999
2021/7/21,20.9
2021/7/22,20.74
2021/7/23,20.629999
2021/7/26,20.82
2021/7/27,20.99
2021/7/28,21.34
2021/7/29,21.809999
2021/7/30,21.77
2021/8/2,21.57
2021/8/3,21.719999
2021/8/4,21.65
2021/8/5,21.26
2021/8/6,20.799999
2021/8/9,20.559999
2021/8/10,19.84
2021/8/11,20.309999
2021/8/12,20.049999
2021/8/13,20.27
2021/8/16,20.190001
2021/8/17,19.969999
2021/8/18,19.459999
2021/8/19,19.129999
2021/8/20,19.23
2021/8/23,20.15
2021/8/24,20.120001
2021/8/25,19.85
2021/8/26,19.73
2021/8/27,20.24
2021/8/30,19.809999
2021/8/31,20.07
2021/9/1,19.809999
2021/9/2,19.870001
2021/9/3,20.299999
2021/9/7,19.85
2021/9/8,19.860001
2021/9/9,19.690001
2021/9/10,19.35
2021/9/13,19.469999
2021/9/14,19.5
2021/9/15,19.360001
2021/9/16,18.51
2021/9/17,18.360001
2021/9/20,18.65
2021/9/21,18.49
2021/9/22,18.450001
2021/9/23,18.23
2021/9/24,18.030001
2021/9/27,17.950001
2021/9/28,18.1
2021/9/29,17.58
2021/9/30,18.049999
2021/10/1,17.99
2021/10/4,18.23
2021/10/5,18.15
2021/10/6,18.450001
2021/10/7,18.59
2021/10/8,18.52
2021/10/11,18.440001
2021/10/12,18.66
2021/10/13,19.23
2021/10/14,19.57
2021/10/15,19.129999
2021/10/18,19.07
2021/10/19,19.309999
2021/10/20,19.42
2021/10/21,19.370001
2021/10/22,19.48
2021/10/25,19.549999
2021/10/26,19.43
2021/10/27,19.389999
2021/10/28,18.940001
2021/10/29,18.370001
2021/11/1,18.48
2021/11/2,18.469999
2021/11/3,18.620001
2021/11/4,18.75
2021/11/5,19.6
2021/11/8,19.48
2021/11/9,19.620001
2021/11/10,20.459999
2021/11/11,20.65
2021/11/12,20.75
2021/11/15,20.9
2021/11/16,20.6
2021/11/17,20.99
2021/11/18,20.559999
2021/11/19,20.25
2021/11/22,19.790001
2021/11/23,19.43
2021/11/24,19.389999
2021/11/26,19.379999
2021/11/29,19.15
2021/11/30,18.99
2021/12/1,18.389999
2021/12/2,18.18
2021/12/3,18.219999
2021/12/6,18.49
2021/12/7,18.559999
2021/12/8,18.6
2021/12/9,18.17
2021/12/10,17.950001
2021/12/13,17.969999
2021/12/14,17.860001
2021/12/15,17.65
2021/12/16,18.440001
2021/12/17,18.389999
2021/12/20,18.33
2021/12/21,18.389999
2021/12/22,18.530001
2021/12/23,18.57
2021/12/27,18.41
2021/12/28,18.370001
2021/12/29,18.4
2021/12/30,18.82
2021/12/31,19
2022/1/3,18.540001
2022/1/4,18.73
2022/1/5,18.57
2022/1/6,18.02
2022/1/7,18.1
2022/1/10,18.620001
2022/1/11,18.860001
2022/1/12,19.200001
2022/1/13,18.83
2022/1/14,18.68
2022/1/18,18.559999
2022/1/19,20.17
2022/1/20,19.91
2022/1/21,19.34
2022/1/24,19.370001
2022/1/25,19.49
2022/1/26,19.030001
2022/1/27,18.709999
2022/1/28,18.559999
2022/1/31,19.15
2022/2/1,19.09
2022/2/2,19.219999
2022/2/3,19.059999
2022/2/4,19.190001
2022/2/7,19.58
2022/2/8,19.82
2022/2/9,19.73
2022/2/10,19.299999
2022/2/11,20.68
2022/2/14,21.09
2022/2/15,20.68
2022/2/16,22.23
2022/2/17,23.23
2022/2/18,23.139999
2022/2/22,22.76
2022/2/23,22.83
2022/2/24,22.540001
2022/2/25,22.559999
2022/2/28,22.57
2022/3/1,23.459999
2022/3/2,23.15
2022/3/3,23.57
2022/3/4,24.200001
2022/3/7,24.860001
2022/3/8,25.360001
2022/3/9,24.33
2022/3/10,24.49
2022/3/11,24.35
2022/3/14,23.639999
2022/3/15,23.77
2022/3/16,23.610001
2022/3/17,24.08
2022/3/18,23.870001
2022/3/21,24.299999
2022/3/22,24.23
2022/3/23,24.57
2022/3/24,24.5
2022/3/25,24.540001
2022/3/28,24.23
2022/3/29,24.530001
2022/3/30,24.85
2022/3/31,24.530001
2022/4/1,24.940001
2022/4/4,24.860001
2022/4/5,24.459999
2022/4/6,24.610001
2022/4/7,24.9
2022/4/8,25.41
2022/4/11,25.4
2022/4/12,25.440001
2022/4/13,25.58
2022/4/14,25.200001
2022/4/18,25.379999
2022/4/19,25.01
2022/4/20,25.25
2022/4/21,24.219999
2022/4/22,23.73
2022/4/25,22.73
2022/4/26,22.370001
2022/4/27,22.24
2022/4/28,22.43
2022/4/29,22.309999
2022/5/2,22.16
2022/5/3,22.41
2022/5/4,23.190001
2022/5/5,22.559999
2022/5/6,22.42
2022/5/9,21.49
2022/5/10,21.290001
2022/5/11,21.23
2022/5/12,20.34
2022/5/13,20.43
2022/5/16,20.52
2022/5/17,20.469999
2022/5/18,19.75
2022/5/19,20.719999
2022/5/20,20.76
2022/5/23,20.73
2022/5/24,21.309999
2022/5/25,21.25
2022/5/26,20.629999
2022/5/27,20.6
2022/5/31,20.49
2022/6/1,20.35
2022/6/2,20.969999
2022/6/3,20.68
2022/6/6,20.51
2022/6/7,20.74
2022/6/8,20.77
2022/6/9,20.09
2022/6/10,21.030001
2022/6/13,20.120001
2022/6/14,19.469999
2022/6/15,19.559999
2022/6/16,20.030001
2022/6/17,19.549999
2022/6/21,19.58
2022/6/22,19.4
2022/6/23,18.549999
2022/6/24,18.780001
2022/6/27,19.040001
2022/6/28,18.549999
2022/6/29,18.389999
2022/6/30,17.690001
2022/7/1,18.059999
2022/7/5,17.42
2022/7/6,17.219999
2022/7/7,17.25
2022/7/8,17.18
2022/7/11,16.98
2022/7/12,16.440001
2022/7/13,16.49
2022/7/14,15.77
2022/7/15,15.66
2022/7/18,15.82
2022/7/19,16.030001
2022/7/20,15.45
2022/7/21,15.5
2022/7/22,15.33
2022/7/25,14.91
2022/7/26,15.27
2022/7/27,15.41
2022/7/28,15.63
2022/7/29,15.74
2022/8/1,15.72
2022/8/2,15.52
2022/8/3,15.2
2022/8/4,15.78
2022/8/5,15.6
2022/8/8,16.200001
2022/8/9,16.440001
2022/8/10,16.530001
2022/8/11,16.4
2022/8/12,16.74
2022/8/15,16.67
2022/8/16,16.85
2022/8/17,16.450001
2022/8/18,16.41
2022/8/19,16.07
2022/8/22,16.17
2022/8/23,16.209999
2022/8/24,16.35
2022/8/25,16.370001
2022/8/26,15.48
2022/8/29,15.35
2022/8/30,14.99
2022/8/31,14.85
2022/9/1,14.59
2022/9/2,14.9
2022/9/6,14.83
2022/9/7,15.36
2022/9/8,15.61
2022/9/9,15.92
2022/9/12,15.96
2022/9/13,15.55
2022/9/14,15.6
2022/9/15,15.14
2022/9/16,15.3
2022/9/19,15.5
2022/9/20,15.05
2022/9/21,15.18
2022/9/22,15.07
2022/9/23,14.48
2022/9/26,14.19
2022/9/27,14.1
2022/9/28,14.95
2022/9/29,15.1
2022/9/30,15.5
2022/10/3,15.92
2022/10/4,16.049999
2022/10/5,15.9
2022/10/6,16.15
2022/10/7,15.48
2022/10/10,15.27
2022/10/11,15.01
2022/10/12,15.06
2022/10/13,14.67
2022/10/14,14.16
2022/10/17,14.61
2022/10/18,14.79
2022/10/19,14.45
2022/10/20,14.51
2022/10/21,15.01
2022/10/24,15.05
2022/10/25,15.26
2022/10/26,15.7
2022/10/27,15.48
2022/10/28,15.31
2022/10/31,15.03
2022/11/1,15.14
2022/11/2,14.34
2022/11/3,13.1
2022/11/4,14.2
2022/11/7,14.57
2022/11/8,15.61
2022/11/9,15.35
2022/11/10,16.43
2022/11/11,16.440001
2022/11/14,16.190001
2022/11/15,16
2022/11/16,15.79
2022/11/17,15.57
2022/11/18,15.62
2022/11/21,15.35
2022/11/22,16.01
2022/11/23,16.23
2022/11/25,16.02
2022/11/28,15.5
2022/11/29,15.87
2022/11/30,16.32
2022/12/1,17.09
2022/12/2,16.98
2022/12/5,16.52
2022/12/6,16.450001
2022/12/7,16.860001
2022/12/8,16.799999
2022/12/9,16.58
2022/12/12,16.73
2022/12/13,17.440001
2022/12/14,17.389999
2022/12/15,16.65
2022/12/16,16.9
2022/12/19,16.549999
2022/12/20,17.280001
2022/12/21,17.5
2022/12/22,17.299999
2022/12/23,17.389999
2022/12/27,17.77
2022/12/28,17.209999
2022/12/29,17.25
2022/12/30,17.18
2023/1/3,17.83
2023/1/4,18.879999
2023/1/5,18.780001
2023/1/6,19.040001
2023/1/9,18.969999
2023/1/10,19.389999
2023/1/11,19.219999
2023/1/12,19.43
2023/1/13,19.639999
2023/1/17,18.75
2023/1/18,18.379999
2023/1/19,18.719999
2023/1/20,18.969999
2023/1/23,19.23
2023/1/24,19.42
2023/1/25,19.790001
2023/1/26,19.690001
2023/1/27,19.67
2023/1/30,19.48
2023/1/31,19.549999
2023/2/1,19.950001
2023/2/2,19.4
2023/2/3,18.32
2023/2/6,18.35
2023/2/7,18.5
2023/2/8,18.34
2023/2/9,17.809999
2023/2/10,17.93
2023/2/13,17.93
2023/2/14,17.809999
2023/2/15,17.17
2023/2/16,16.950001
2023/2/17,16.74
2023/2/21,16.59
2023/2/22,16.209999
2023/2/23,16.07
2023/2/24,16
2023/2/27,15.97
2023/2/28,16.120001
2023/3/1,16.309999
2023/3/2,16.379999
2023/3/3,16.52
2023/3/6,16.299999
2023/3/7,15.77
2023/3/8,15.62
2023/3/9,15.57
2023/3/10,15.91
2023/3/13,17.02
2023/3/14,17.07
2023/3/15,17.48
2023/3/16,17.4
2023/3/17,18.120001
2023/3/20,18.24
2023/3/21,17.690001
2023/3/22,18
2023/3/23,18.299999
2023/3/24,18.52
2023/3/27,18.5
2023/3/28,18.66
2023/3/29,18.540001
2023/3/30,18.6
2023/3/31,18.57
2023/4/3,18.790001
2023/4/4,19.620001
2023/4/5,19.68
2023/4/6,19.73
2023/4/10,19.459999
2023/4/11,19.42
2023/4/12,19.629999
2023/4/13,20.049999
2023/4/14,19.67
2023/4/17,19.370001
2023/4/18,19.42
2023/4/19,19.24
2023/4/20,19.200001
2023/4/21,19.07
2023/4/24,19.07
2023/4/25,19.190001
2023/4/26,18.99
2023/4/27,19.17
2023/4/28,19.040001
2023/5/1,19
2023/5/2,19.790001
2023/5/3,19.98
2023/5/4,20.43
2023/5/5,20.200001
2023/5/8,19.85
2023/5/9,19.780001
2023/5/10,19.77
2023/5/11,19.030001
2023/5/12,19.18
2023/5/15,19.35
2023/5/16,18.76
2023/5/17,18.43
2023/5/18,17.809999
2023/5/19,17.860001
2023/5/22,17.790001
2023/5/23,17.75
2023/5/24,17.48
2023/5/25,17.09
2023/5/26,16.99
